questions,class
What does caliente translate to in English ?,ENTITY
How far can a human eye see ?,NUMERIC
What time of year has the most air travel ?,NUMERIC
When was the G7 group of nations formed ?,NUMERIC
What were the first frozen foods ?,ENTITY
What is the word for love of pain or abuse ?,ENTITY
When did they canonize the Bible ?,NUMERIC
What percentage of all world tornados touch down in the US ?,NUMERIC
When did the Carolingian period begin ?,NUMERIC
How many emperors were there in the Roman Empire ?,NUMERIC
What 's the name of the tiger that advertises for Frosted Flakes cereal ?,ENTITY
What color is Mr. Spock 's blood ?,ENTITY
On what day were John F and Jackie Kennedy married ?,NUMERIC
"What was the non-fiction best-seller of 1952 , 1953 and 1954 ?",ENTITY
What 's the best way to lose the flab under your chin and around your face ?,ENTITY
Where is your corpus callosum ?,LOCATION
"What Broadway musical featured the song , `` If I were a rich man ? ''",ENTITY
"When Superman needs to get away from it all , where does he go ?",LOCATION
How old is singer Freedy Johnston ?,NUMERIC
What is a fear of hair ?,ENTITY
Where can I get cotton textiles importer details ?,LOCATION
When did Spain and Korea start ambassadorial relations ?,NUMERIC
How many grooves are on a dime 's edge ?,NUMERIC
What are the most albums sold by one artist or band ?,ENTITY
The second most popular sport worldwide is what ?,ENTITY
What do goldfish lose if kept in dimly-lit or running water ?,ENTITY
What canal does the Thatcher Ferry Bridge span ?,LOCATION
What are the chances of pregnacy if the penis does not penetrate the vagina ?,NUMERIC
What 's the highest hand in straight poker ?,ENTITY
Where can I find a lesson plan for teaching the metric system conversion to American standard ?,LOCATION
What is the name of Kevin Costner 's movie about Sioux Indians ?,ENTITY
How long would it take for a $ savings bond to mature ?,NUMERIC
What did the Congress of Vienna establish ?,ENTITY
What is the average cost for four years of medical school ?,NUMERIC
What harmful chemicals are in bug spray ?,ENTITY
How many spears are there on Kenya 's flag ?,NUMERIC
Where did George of the Jungle live ?,LOCATION
What 's men 's par on a 455-yard golf hole ?,NUMERIC
What percentage of American men are alcoholic ?,NUMERIC
"Dialing , 900 , 740-TREE to have a tree planted will cost how much ?",NUMERIC
"In South Korea , how many American Soldiers are there ?",NUMERIC
What are the numbers that fit into Fermont 's last theorem ?,NUMERIC
What does a heliologist study ?,ENTITY
"What shampoo prevents eczema , seborrhea , and psoriasis ?",ENTITY
How many Americans have HIV ?,NUMERIC
Where do I find information for foreclosure properties on the Internet ?,LOCATION
What was the first English play written exclusively for children ?,ENTITY
Which Latin American country is the largest ?,LOCATION
What was the former residence of Scottish kings in Edinburgh ?,LOCATION
How many teats does a female goat sport ?,NUMERIC
How tall is kilamanjaro ?,NUMERIC
What country buys 25 percent of the world 's tea exports ?,LOCATION
What country is the origin of the band the Creeps ?,LOCATION
What did the crocodile swallow in Peter Pan ?,ENTITY
What is the number of American soldiers deployed to South Korea ?,NUMERIC
Where is the biggest bell ?,LOCATION
What is the brand name of the chemical daminozide ?,ENTITY
What magazine paid Ernest Hemingway $15 a word to write a bullfighting article ?,ENTITY
What is the estimated total U.S. whitetail deer population ?,NUMERIC
"What animal received royal assent as an emblem of Canada on March 24 , 1975 ?",ENTITY
What number is at 12 o 'clock on a dartboard ?,NUMERIC
What film dramatized the Scopes monkey trial ?,ENTITY
What country offered Albert Einstein its presidency in 1952 ?,LOCATION
"What TV series saw many of its aquatic scenes shot at Silver Springs , Florida ?",ENTITY
What is AFS ?,ABBREVIATION
What operating system do IBM-compatible machines use ?,ENTITY
"What bay sparkles next to Miami , Florida ?",LOCATION
How many miles of veins are in the circulatory system ?,NUMERIC
What famed river flows through Bagdad ?,LOCATION
How many `` No '' answers was the What 's My Line ? panel allowed ?,NUMERIC
What is the fine for having a dog on a beach ?,NUMERIC
"Where can one find information on religion and health , the brain and nutrition ?",LOCATION
What TV show did John Sebastian sing the theme for ?,ENTITY
How many four star generals were there and who are they ?,NUMERIC
When did Nixon die ?,NUMERIC
What was originally defined as one 1-millionth of the distance from the equator to the Pole ?,ENTITY
How many members are in the California congressional delegation ?,NUMERIC
What erupts every hour at Yellowstone National Park ?,LOCATION
What country contains the highest point in South America ?,LOCATION
What constellation represents a hunter with club and shield ?,LOCATION
How long did Shea and Gould practice law in Los Angeles ?,NUMERIC
What 's a perfect score in a gymnastics exercise ?,NUMERIC
At what age did Rossini stop writing opera ?,NUMERIC
What Russian seaport has a name meaning `` Lord of the East '' ?,LOCATION
How old was Gene Siskel ?,NUMERIC
What Rocky Mountain ridge separates North America 's eastward and westward-flowing rivers ?,LOCATION
What does a chiropodist treat ?,ENTITY
What gate opened on East and West Berlin ?,LOCATION
In what movie is the number nine found in the title ?,ENTITY
How many calories are there in soy sauce ?,NUMERIC
What 's the farthest planet from the sun ?,LOCATION
What chemical in red wine is good for the heart and what exactly does it do to your body ?,ENTITY
How big is our galaxy in diameter ?,NUMERIC
"What product `` doubles your pleasure , doubles your fun '' ?",ENTITY
When is a woman most fertile ?,NUMERIC
What brand of jeans did Calvin Klein admit in a 1984 interview he felt more comfortable wearing ?,ENTITY
What video format was an alternative to VHS ?,ENTITY
What is money made of ?,ENTITY
What 's the name of a hotel in Indianapolis ?,LOCATION
How many people in Tucson ?,NUMERIC
Where is Melbourne ?,LOCATION
What country was Mikhail Gorbachev the leader of ?,LOCATION
"What is the recommended weight of a 15 year-old male that is 5 , 6 ?",NUMERIC
What is the largest county in size in Massachusetts ?,LOCATION
How much is a Canadian 1967 twenty dollar gold coin worth ?,NUMERIC
What natural attractions draw the most visitors in the United States ?,LOCATION
How many years did Sleeping Beauty sleep ?,NUMERIC
How long does it take for your body to restore blood after you donate your blood ?,NUMERIC
Which of many numbered vats of Scotch was judged best by a panel of experts in 1863 ?,ENTITY
What international sport was originally called hurley ?,ENTITY
What river runs through Liverpool ?,LOCATION
What country was Kim Philby really working for ?,LOCATION
What country was Hitler the chancellor of ?,LOCATION
How many years make up a lustrum ?,NUMERIC
What are close encounters of the first and second kind ?,ENTITY
What 1956 Grace Metalious novel was on the best-seller list for two years ?,ENTITY
How old is the Italian artist Maurizio Pellegrin ?,NUMERIC
What North American city would you visit to see Cleopatra 's Needle ?,LOCATION
When was the NFL established ?,NUMERIC
Where can I find an Ask An Expert site ?,LOCATION
What U.S. state has the lowest highest elevation at 6 feet ?,LOCATION
What is the organizational structure of the New Delhi Indira Gandhi airport ?,ENTITY
"At Christmas time , what is the traditional thing to do under the mistletoe ?",ENTITY
What international amateur sports spectacle was first telecast in 1956 ?,ENTITY
Where is Mile High Stadium ?,LOCATION
"What were Baffin , Frobisher and Franklin looking for ?",ENTITY
What city contains the district of Hell 's Kitchen ?,LOCATION
What interesting method was used to run the credits in the early Popeye cartoons ?,ENTITY
What are the stars made of ?,ENTITY
How fast must a spacecraft travel to escape Earth 's gravity ?,NUMERIC
How many rings are there on a five-zone archery target ?,NUMERIC
"What anesthetic did Queen Victoria allow to be used for the birth of her seventh child , in 1853 ?",ENTITY
"What element , from the Periodic Table , is a gas or a solid , but never a liquid ?",ENTITY
Which one of the Great Lakes is entirely within U.S. territory ?,LOCATION
What is DEET ?,ABBREVIATION
What U.S. state has sagebrush as its state flower ?,LOCATION
In which sport is there a `` scrum '' ?,ENTITY
What are the best ways to improve employee morale at low cost ?,ENTITY
What nationality is Pope John Paul II ?,LOCATION
Which side should a bowler facing a 37803 split hit the 3-pin on-the left or the right ?,ENTITY
Where are some great educational resources for parents and teachers ?,LOCATION
How many Israeli athletes were killed at the Munich Olympics ?,NUMERIC
What is the Scotch `` for people who know the difference '' ?,ENTITY
When was Richard Nixon born ?,NUMERIC
What New York City landmark has 168 steps to its crown ?,LOCATION
Where is the Bulls basketball team based ?,LOCATION
What is the recomended age to switch a child from a crib to a bed ?,NUMERIC
When is the Sun closest to the Earth ?,NUMERIC
What is the average hours per months spent online by AOL users ?,NUMERIC
The trials resulting from World War II are known as what ?,ENTITY
What started in 1849 when gold was discovered at Sutter 's Mill ?,ENTITY
What 's the second-highest mountain in the world ?,LOCATION
What country was Erich Honecker the leader of ?,LOCATION
"What two Japanese cities are spelled with the letters K , O , O , T and Y ?",LOCATION
Where did Wile E. Coyote always get his devices ?,LOCATION
How far away is the moon ?,NUMERIC
What is DTMF ?,ABBREVIATION
"Name a movie that the actress , Sandra Bullock , had a role in .",ENTITY
"What blew up at Lakehurst , New Jersey , on May 6 , 1977 ?",ENTITY
Where can an individual get a contact lens tested that burned the entire surface of eye when new ?,LOCATION
What countries does the Mont Blanc Tunnel join ?,LOCATION
What ill-fated craft was captained by Ernst Lehmann ?,ENTITY
When did Amtrak begin operations ?,NUMERIC
How many bones are in the human hand ?,NUMERIC
How many chemical elements are there ?,NUMERIC
What eastern state sprouted the first commercial nuclear power plant in the U.S. ?,LOCATION
What are the three most populated countries in the world ?,LOCATION
"What is the current population for these countries : France , Spain , Italy , Greece , Austria , Germany , Switzerland , the Netherlands ?",NUMERIC
What is the youngest age a boy or girl can have an orgasm ?,NUMERIC
What color is the lipstick on Boy George 's wax lips at London 's Madame Tussaud 's ?,ENTITY
What is the brand name of a chemical used to control ripening ?,ENTITY
What terror of the sea did Johnny Horton sing about ?,ENTITY
What is the largest office block in the world ?,LOCATION
What is the medical term for cancer of the blood ?,ENTITY
What country did the Romans call Hibernia ?,LOCATION
How many dogs pull a sled in the Iditarod ?,NUMERIC
What 's a male witch called ?,ENTITY
How long does cocaine stay in your system ?,NUMERIC
What two countries fought the Hundred Years ' War ?,LOCATION
"On which dates does the running of the bulls occur in Pamplona , Spain ?",NUMERIC
What is the most commonly used 1 letter word in the English language ?,ENTITY
How many colors was the 1940s collectible called a Donald Duck Rubber Boat ?,NUMERIC
What did Tristan come back as ?,ENTITY
What country will hit the year 2 first ?,LOCATION
What colors make up a rainbow ?,ENTITY
What war did Johnny Reb and Billy Yank fight ?,ENTITY
What square is the geographical center of London ?,LOCATION
What is the most populated city in the world ?,LOCATION
How many pitchers occupy the shelf beside the crouching woman in Edgar Degas 's 1886 painting The Tub ?,NUMERIC
What is the cost of the drugs used in tuberculosis treatments ?,NUMERIC
What does JESSICA mean ?,ABBREVIATION
What famed gangland slaughter cut into the membership of Bugs Moran 's outfit ?,ENTITY
Ray Charles is best known for playing what instrument ?,ENTITY
